taxa,PC1,PC2,PC3
N0462,-150.100595508407,-19.6681550368141,-26.3299817177167
N0463,-153.662361330212,-20.369930637471,-24.3187157700487
N0464,-158.443986724228,-13.9303517081389,-20.053931285862
N0465,-158.868322610995,-19.6528442657293,-18.9260356557308
N0466,-160.755735586399,-13.8208292128837,-11.660079418358
N0467,-27.62698861283,-12.7844436662914,-13.0604899260886
N0468,-157.850129965504,-17.7303733885341,-14.9215992379511
N0469,-154.088722435919,-19.1334308928148,-23.075425390905
N0470,-159.708077694521,-15.4106079117524,-13.6304631248818
N0471,-57.4988774984054,25.2247722139093,-16.0404981284377
N0472,54.518810296792,62.0141328406162,-18.7756127352497
N0473,48.8991823966764,57.2368311285613,-8.95021617561579
N0474,47.6184421645791,56.8717478051855,-7.19712181249414
N0475,71.3700204682591,-0.48673349407261,21.657719564593
N0476,45.6937742200332,29.3616582913163,-30.5371355369937
N0477,42.4207726079817,64.0088811049282,-1.76408527583925
N0478,-32.4629394095375,49.5847097013425,-20.8763413366628
N0479,69.4270625324078,55.3557395022019,-27.6276302448545
N0480,85.6459270776564,12.7728536131888,-3.25859240223674
N0481,-61.8983406316733,5.48916028838024,-9.47657261610521
N0482,53.9755912019846,2.6539353004709,7.06410781963319
N0483,-49.6037775114124,39.9324258012235,-1.03257435045911
N0484,19.4472651773305,41.9938086467023,-2.44670629190644
N0485,42.654039898071,56.2440856315193,-16.9667841551798
N0486,-170.61947182732,1.35580463489033,19.9873002629186
N0487,-166.904358685412,-0.968987640160969,16.7868783056913
N0488,-155.04845935247,-14.5086368256286,-13.0359692953346
N0489,-158.248358800992,-6.4641326112334,-13.290690549328
N0490,-152.240780690356,-13.4229112149683,-24.0189005821589
N0491,9.44265696605538,15.4318167383653,10.1439709771758
N0492,-88.0539211554637,-2.61197100734692,-14.2928638679954
N0493,-146.266555092313,-14.1492272480541,-38.7144530984448
N0494,-122.748238133095,-0.322281780405315,9.85708857772547
N0495,-39.8057797339261,34.9859444331299,-2.15815655980428
N0496,-69.925236315205,18.1274834380052,-21.9761008631258
N0497,2.90337497299997,46.8189632918286,-10.120101549606
N0498,-5.65240254527068,46.6559062109982,1.62287529808942
N0499,30.8899983628909,10.5473937685801,-8.60805631436206
N0500,-9.16690721411742,34.0207104164693,-2.78737104375709
N0501,-72.7545280507497,17.8321354857455,-16.6275671831445
N0502,81.0675629171954,43.6392071557609,-15.6997675196488
N0503,-81.9619594146438,32.6846327938137,34.6886723810116
N0504,-2.8850351098511,32.0060397833191,-30.6991360036832
N0505,102.345071319558,47.8817025365015,-18.4180380241765
N0506,13.9730057008552,42.1459904120105,-9.41887387027436
N0507,40.5671958233951,38.7078175162184,-10.762105163704
N0508,79.1328788129768,41.0766445470847,-24.6277260208008
N0509,42.4376882179209,13.3971051148192,-40.2569238777508
N0510,75.7491274587821,26.9609673585085,-22.9061598928917
N0511,-1.58608699186445,39.7946671051375,19.2444234402402
N0512,-2.51122790598442,40.436006072026,19.5934735916046
N0513,11.6650945293473,9.51911367589427,10.6652213110923
N0514,-43.9199717233172,41.4105144516108,5.43296602913176
N0515,97.57624096791,44.4780998801147,-26.7672850210027
N0516,98.6353686415509,45.2855962659116,-26.981159582007
N0517,43.5317770364689,28.0229768909433,3.92588190316166
N0518,50.1970755860415,29.4925541881661,5.99584338889407
N0519,-31.3382687069844,27.3659257381084,-0.101943889508733
N0520,-47.421894888109,34.5628467340917,16.1558027334909
N0521,57.9508342422779,12.6425641606191,-6.13704079930306
N0522,76.451098429194,-9.34197787163057,11.8842226859265
N0523,-83.1566172650316,15.252992570238,24.983595285121
N0524,-68.1412598874594,33.8674993628076,25.1832483815235
N0525,75.5064023003414,38.1736853638202,-0.493478136094817
N0526,-139.197697789263,-11.119857702057,-19.517120622192
N0527,-94.498787198024,15.0971853640664,20.4155792272101
N0528,-21.8025505363392,19.9851671380301,-0.410468763746433
N0529,30.2398899905102,22.0090874839813,8.82254323317647
N0530,-43.8639580485731,19.9615389567721,30.3784516507605
N0531,-55.4242564592274,10.5723587824285,20.4082241367594
N0532,-57.8713303561293,29.2949552703282,34.1373102222122
N0533,61.2013849007413,2.65324513733635,11.6839604437814
